"CODE","DESCRIPTION"
"CUB","CUB CRAFT"
"CUC","CUSTOM MARINE"
"CUP","CUSTOM MARINE"
"CUSM","CUSTOM TRAILERS"
"CVB","CARAVELLE BOAT CO."
"CXN","CRUSADER CUSTOM BOATS"
"CYCL","UNPUBLISHED MOTORCYCLE MFR."
"CYV","COBRA BOAT MFG., INC."
"DAEW","DAEWOO"
"DAIH","DAIHATSU"
"DAIR","DIAMOND REO"
"DAIX","DAIXI ZHENHUA TECH (MOTORCYCLE)"
"DATS","DATSUN"
"DAUP","DAUPHIN"
"DAW","DAWSON BOAT CO."
"DCB","DEM-CRAFT BOAT CO."
"DEER","JOHN DEERE"
"DEL","DELTA MARINE, INC."
"DELO","DELOREAN"
"DEM","DELHI MFG. CORP. (DELCRAFT)"
"DERB","DERBI MOTOR CORP."
"DES","DESOTO MFG. & SUPPLY CO."
"DESO","DESOTO"
"DETO","DETOMASO"
"DFL","DOLPHIN BOATS, INC."
"DFM","MOSSBACK BOAT MFG. CO."
"DFP","DELCO FIBERGLASS PRODUCTS"
"DIAT","DIAMOND T"
"DIPL","DIPLOMAT"
"DIVC","DIVCO"
"DIVE","DIVELY MFG CO (TRAILER)"
"DLN","DOLPHIN BOATS, INC."
"DMB","DI MARCO BOATS"
"DMH","HOSEA MFG. CO."
"DMP","DAYTON MARINE PRODUCTS"
"DMR","DONZI MARINE, INC."
"DNC","DURANAUTIC MFG. CORP."
"DNU","DURANAUTIC, INC."
"DODG","DODGE"
"DOOL","DOOLITTLE"
"DORS","DORSEY TRAILER"
"DPD","DOLPHIN CANOE CO."
"DST","DORSETT MARINE, INC."
"DUCA","DUCATI"
"DUES","DUESENBERG"
"DUPL","DUPLEX TRUCK"
"DUR","DURACRAFT BOATS, INC."
"DUS","DUSKY MARINE, INC."
"DUT","DURATECH MFG. CO."
"DWE","CHIEF MFG., INC. (D & W ENTERPRISES)"
"DXA","DIXIE AIRBOATS, INC."
"DXE","DIXIE BOAT WORKS"
"DXF","DIXIE FIBERGLASS PRODUCTS"
"DXM","DIXIE CRAFT (DIXIE MARINE MFG)"
"DYE","DYERCRAFT BOATS"
"EADU","EAST DUMP TRAILER"
"EAGI","EAGLE INTERNATIONAL"
"EALO","EASY LOADER TRAILER"
"EAST","EASTON CAR & CONSTRUCTION"
"EBK","EBKO INDUSTRIES"
"ECX","CANE CUTTER, INC."
"EDSE","EDSEL"
"EGIL","EAGLE"
"EKW","MARLIN BOATS, INC."
"ELB","ELIMINATOR BOATS"
"ELD","ELDO CRAFT BOAT CO."
"ELDO","ELDORADO"
"ELE","ELITE BOATS"
"ELG","ELGIN"
"ELGN","ELGIN SWEEPER"
"ELX","ELI LAMINATES CO., INC."
